Designator,Mid X,Mid Y,Rotation,Layer
BT1,35.5,23.75,90.0,bottom
C1,18.0,37.75,180.0,top
C10,46.5,32.7,270.0,top
C11,33.75,23.85,180.0,top
C12,46.9,36.2,90.0,top
C13,8.165,1.2175,180.0,top
C14,8.165,6.9675,180.0,top
C15,36.75,19.85,0.0,top
C16,42.9,33.45,270.0,top
C17,29.0,21.85,180.0,top
C18,44.9,40.96,90.0,top
C19,45.75,11.75,90.0,top
C2,14.5,10.75,90.0,top
C20,29.65,31.2,270.0,top
C21,43.75,11.75,90.0,top
C22,29.65,34.7,90.0,top
C23,43.75,8.25,270.0,top
C24,27.65,31.2,270.0,top
C25,45.75,8.25,270.0,top
C26,27.65,34.7,90.0,top
C27,52.75,51.35,90.0,top
C29,56.85,53.87,90.0,top
C3,6.75,12.76,90.0,top
C30,46.9,43.95,180.0,top
C32,44.38,48.05,180.0,top
C33,52.765,17.25,90.0,top
C35,56.865,19.77,90.0,top
C36,52.75,25.5,90.0,top
C38,56.85,28.02,90.0,top
C39,52.75,9.5,90.0,top
C4,2.225,14.25,180.0,top
C41,56.85,11.77,90.0,top
C42,52.725,3.2,90.0,top
C44,56.825,5.47,90.0,top
C45,52.75,40.25,90.0,top
C47,56.85,42.77,90.0,top
C5,2.5,15.5,180.0,top
C6,36.75,47.25,270.0,top
C7,37.25,21.45,0.0,top
C8,44.5,32.7,270.0,top
C9,37.25,23.45,0.0,top
D1,23.25,10.75,180.0,top
D10,40.75,39.5,0.0,top
D11,10.25,9.5,180.0,top
D12,3.25,8.5,0.0,top
D13,84.024558,44.778332,180.0,top
D14,40.25,47.5,0.0,top
D15,83.765,16.0,180.0,top
D16,83.75,26.25,180.0,top
D17,84.428124,8.72962,90.0,top
D18,82.428124,8.72962,270.0,top
D19,83.75,36.278332,180.0,top
D2,16.5,1.75,270.0,top
D20,17.0,6.5,90.0,top
D3,43.49,2.5,0.0,top
D4,43.51,4.25,180.0,top
D5,25.75,10.75,0.0,top
D6,12.5,4.0,270.0,top
D7,29.75,47.25,180.0,top
D8,26.5,43.5,0.0,top
D9,30.5,17.5,90.0,top
J1,24.5,4.0,0.0,top
J10,38.0,53.0,90.0,top
J11,76.5,51.625,90.0,top
J12,76.5,40.25,90.0,top
J13,46.0,53.0,90.0,top
J14,60.5,17.5,90.0,top
J15,60.5,28.875,90.0,top
J16,68.5,17.5,90.0,top
J17,68.5,28.875,90.0,top
J18,60.5,6.125,90.0,top
J19,76.5,17.5,90.0,top
J2,10.75,53.0,180.0,top
J20,76.5,28.875,90.0,top
J21,68.5,6.125,90.0,top
J22,76.5,6.125,90.0,top
J3,2.0,43.23,0.0,top
J4,20.71,51.75,180.0,top
J5,60.5,51.625,90.0,top
J6,60.5,40.25,90.0,top
J7,30.0,53.0,90.0,top
J8,68.5,51.625,90.0,top
J9,68.5,40.25,90.0,top
JP10,45.6,19.27,270.0,top
JP3,83.754558,47.838332,0.0,top
JP4,13.0,41.995,90.0,top
JP5,83.754558,19.898332,180.0,top
JP6,83.754558,30.058332,0.0,top
JP7,83.754558,12.278332,0.0,top
JP8,76.995,11.75,0.0,top
JP9,83.754558,40.218332,0.0,top
L1,37.0,13.2,270.0,top
L2,36.5,32.95,180.0,top
R1,22.5,9.75,0.0,top
R10,18.5,14.75,270.0,top
R11,17.25,14.75,270.0,top
R12,30.5,19.5,180.0,top
R13,42.75,39.75,270.0,top
R14,31.75,23.85,0.0,top
R15,46.65,39.45,270.0,top
R16,3.25,10.0,0.0,top
R17,31.0,21.35,270.0,top
R18,44.4,38.95,0.0,top
R19,29.0,20.85,180.0,top
R2,27.25,9.75,180.0,top
R20,43.9,40.95,90.0,top
R21,53.85,49.59,270.0,top
R22,53.85,54.84,270.0,top
R23,55.35,55.34,0.0,top
R24,55.35,54.34,0.0,top
R25,81.524558,44.778332,270.0,top
R26,56.85,51.59,90.0,top
R27,56.849631,49.587885,90.0,top
R28,13.0,38.25,0.0,top
R29,42.91,46.55,90.0,top
R3,13.0,47.5,90.0,top
R30,43.41,45.05,0.0,top
R31,43.91,46.55,90.0,top
R32,40.25,46.0,0.0,top
R33,46.66,48.05,180.0,top
R34,48.16,47.55,90.0,top
R35,53.865,15.49,270.0,top
R36,55.365,20.24,0.0,top
R37,55.365,21.24,0.0,top
R38,53.865,20.74,270.0,top
R39,54.865,15.49,270.0,top
R4,46.25,2.5,0.0,top
R40,83.765,17.5,180.0,top
R41,56.865,17.49,90.0,top
R42,56.86609,15.485141,90.0,top
R43,53.85,23.74,270.0,top
R44,53.85,28.99,270.0,top
R45,55.35,28.49,0.0,top
R46,55.35,29.49,0.0,top
R47,54.85,23.74,270.0,top
R48,83.75,27.75,180.0,top
R49,56.85,25.74,90.0,top
R5,46.26,4.25,180.0,top
R50,56.859779,23.741453,90.0,top
R51,52.75,7.5,270.0,top
R52,55.35,12.24,0.0,top
R53,55.35,13.24,0.0,top
R54,53.85,12.74,270.0,top
R55,54.25,8.0,0.0,top
R56,85.928124,8.72962,90.0,top
R57,56.85,9.49,90.0,top
R58,56.855505,7.542387,90.0,top
R59,52.225,1.7,180.0,top
R6,5.75,12.76,270.0,top
R60,53.825,6.44,270.0,top
R61,55.325,6.94,0.0,top
R62,55.325,5.94,0.0,top
R63,54.225,1.7,0.0,top
R64,80.928124,8.72962,270.0,top
R65,56.825,3.19,90.0,top
R66,57.337205,1.364119,180.0,top
R67,53.85,38.49,270.0,top
R68,55.35,44.24,0.0,top
R69,53.85,43.74,270.0,top
R7,33.75,47.25,180.0,top
R70,55.35,43.24,0.0,top
R71,83.75,37.778332,180.0,top
R72,56.85,40.49,90.0,top
R73,56.850661,38.517534,90.0,top
R8,35.75,47.25,270.0,top
R9,7.0,37.5,180.0,top
SW1,6.975,45.75,90.0,top
SW2,7.0,39.75,0.0,top
SW3,10.25,13.0,180.0,top
U1,17.75,42.0,0.0,top
U10,54.8,10.15,90.0,top
U11,54.775,3.85,90.0,top
U12,54.8,41.15,90.0,top
U2,10.14,26.6,90.0,top
U3,8.3,4.1125,270.0,top
U4,33.38,21.25,0.0,top
U5,44.3,36.57,270.0,top
U6,54.8,52.25,90.0,top
U7,46.0,46.0,180.0,top
U8,54.815,18.15,90.0,top
U9,54.8,26.4,90.0,top
